uniqueID,UniqueLakeName,StudyID,Year,Month,Lat,Lon,LakeName,ChlValues,TP,TN,DOC,DO,LakeVolume,SurfaceArea,Depth.mean,Depth.max,Secchi,pH,HydroLAKES.Hylak_id,,Pro1,Pro2,Pro3,Pro4,Pro5,Pro6,Pro7,Pro8,Pro9,Pro10,Pro11,Pro12,Pro13,Pro14,Pro15,Pro16,Pro17,Population,Lake_area,Wshd_area,Buffer_size,Final_area,Country,NonHydroLakesWithAtLeastHalfWater,MostRecentMaxMonthOrMedianYear,Total_LU_Cells
newid002802,L0073,56,2012,1,-23.7692778,-46.53330556,Billings Reservoir,0.0505,0.045,,,,,,,,,,10364,,0.00200267,0.509345794,0,0,0,0,0,0.03271028,0.075100134,0.012683578,0.117156208,0,0.211281709,0,0,0,0.039719626,1893511.25,99.72,613.2,4.15121659,640.0156056,Brazil,0,1,2996
newid002804,L0074,56,2012,1,-23.6786111,-46.71980556,Guarapiranga Reservoir,0.0532,0.061,,,,,,,,,,10363,,0.002033347,0.172834486,0,0,0,0,0,0.103294022,0.154534364,0.011793412,0.045140301,0,0.486783245,0,0,0.002440016,0.021146808,3352110,23.64,629.9,8.500008257,525.0942599,Brazil,0,1,2459
newid002816,L0075,1478,2010,2,-23.647,-47.361,Itupararanga Reservoir,0.0269,0.0252,0.827,,,,,,,,7.67,10361,,0.001081958,0.147957804,0,0,0,0,0,0.075196105,0.578306735,0.055450365,0.018663781,0.002434406,0.071138761,0.049229105,0,0,0.000540979,222348.9063,21.99,919.4,9.94282091,790.858652,Brazil,0,1,3697
newid002820,L0077,56,2012,1,-23.3660833,-46.66866667,Paiva Castro Reservoir,0.0053,0.019,,,,,,,,,,120888,,0.005734767,0.282437276,0,0,0,0,0,0.177777778,0.382078853,0.01218638,0.007885305,0,0.131899642,0,0,0,0,287504.3125,3.57,342.6,6.533806524,296.593331,Brazil,0,1,1395
newid002822,L0079,401,2011,,-22.765,-53.25694,"3


 Ivinhema",0.0109,0.0363,0.8979,,,,,,,,6.09,,,0,0,0,0,0,0,0,0,0.125,0.458333333,0.291666667,0,0,0,0,0.041666667,0.083333333,461.9038086,,,1,3.136548491,Brazil,0,1,24
newid002829,L0082,388,2017,,-20.625902,31.608379,L9,0.0021,0.15,1.09,,,,,,,1.78,7.79,16258,,0,0,0,0.014180848,0.002002002,0.006006006,0.068234902,0.001501502,0.109275943,0.790123457,0.000667334,0.004170838,0,0,0,0.001001001,0.00283617,57930.99609,19.25,1517.8,16.56900196,1281.225162,Zimbabwe,0,1,5994
newid002832,L0085,781,2009,,-19.95277778,-54.89277778,Rochedo,0.0004,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.173913043,0.52173913,0,0,0.304347826,0,0,0,0,1692.191772,,,1,3.136548491,Brazil,0,1,23
newid002833,L0086,781,2009,,-19.02194444,-50.49194444,S?Ã¹Â®o Sim?Ã¹Â®o,0.0002,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.208333333,0.25,0.458333333,0,0,0,0,0.041666667,0.041666667,8.277279854,,,1,3.136548491,Brazil,0,1,24
newid002835,L0091,326,2017,,-18.09441,-67.0961,Uru Uru,0.0104,,,,,,214,,,,8.74,10308,,0.001191646,0.007975496,0,0.000762323,0.000674257,0.00014586,0.368835022,0.002578689,0.007480123,0.511012404,0.002218168,0.007147123,0.005936213,0,8.81E-05,0.067612828,0.016341785,2445923,82.91,91729.3,150.7593033,77773.05421,Bolivia,0,1,363363
newid002836,L0092,781,2009,,-17.9892,-48.5317,Corumb,0.0002,,,,,,,,,,,,,0,0,0,0.038461538,0,0,0,0,0.269230769,0.538461538,0.153846154,0,0,0,0,0,0,6.399759293,,,1,3.136548491,Brazil,0,1,26
newid002837,L0095,781,2009,,-15.34833333,-49.81388889,S?Ã¹Â®o Patricio,0.0001,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.08,0.68,0,0,0.24,0,0,0,0,1216.523926,,,1,3.136548491,Brazil,0,1,25
newid002838,L0096,781,2009,,-13.83416667,-48.30444444,Serra da Mesa,0.0003,,,,,,,,,,,922,,0.000100792,0.004943859,0,0.007025218,0.001068398,3.53E-05,5.54E-05,0.002560123,0.613668434,0.328879997,0.007075614,0.019175721,0.002106558,1.01E-05,0,0.002953212,0.010341282,244993.3906,922.61,51363,71.93680787,42483.26378,Brazil,0,1,198428
newid002839,L0097,781,2009,,-13.49722222,-48.12583333,Ca Brava,0.0002,,,,,,,,,,,921,,0.000133505,0.005536,0,0.006497234,0.001490804,2.23E-05,4.45E-06,0.002420887,0.734089564,0.224292536,0.00775663,0.004823974,0.00082773,0,0,0.002269582,0.009834855,191180.0313,137.04,58170.7,105.4016617,48134.91557,Brazil,0,1,224711
newid002854,L0106,329,2013,,-6.9125,107.366,Saguling Reservoir,0.4758,0.165,0.2953,,,,,,,,,16062,,0,0.100660066,0,0,0,0,0,0.20921735,0.170792079,0.006247053,0.011786893,0.060113154,0.144035832,0.296558227,0,0,0.000589345,5588315,32.03,2317.4,17.09821424,1815.332712,Indonesia,0,1,8484
newid002855,L0107,781,2009,,-5.75,-43.083,Castelhano,0.0001,,,,,,,,,,,,,0,0,0,0,0,0,0,0.307692308,0.576923077,0.115384615,0,0,0,0,0,0,0,72.01557159,,,1,3.136548491,Brazil,0,1,26
newid002857,L0108,600,2014,,-5.4975148,-38.446833,Castanhao Reservoir,0.0151,0.0457,,,,,,,,,8.8,,,0,0,0,0,0,0,0,0,0,0.739130435,0,0,0,0,0,0.260869565,0,113.4695053,,,1,3.136548491,Brazil,0,1,23
newid002891,L0149,682,2009,,-0.7558,33.4384,Victoria,0.0606,,,,,,18,,7,,,16,,2.77E-06,0.015097029,0,0.000367074,0.012147305,7.95E-05,0.001459308,0.014336613,0.154660384,0.345381093,0.017054064,0.079850627,0.001755179,0.141231432,0,0.001093617,0.215484012,52813436,67166.22,265372.8,141.7365578,308990.8086,Uganda,0,1,1446576
newid002892,L0152,682,2009,,-0.5746,30.9893,Mburo,0.0486,,,,,,13,,4,,,,,0,0.000611621,0,0,0,0,0,0.000611621,0.094801223,0.882568807,0.015902141,0.001223242,0,0.001834862,0,0,0.002446483,9584.768555,13,,10.2366972,328.6788211,Uganda,0,1,1635
newid002893,L0154,682,2009,,0.0161,30.182,George,0.138,,,,,,250,,7,,,1586,,9.47E-05,0.175421561,0,2.37E-05,2.37E-05,0.002415688,0,0.032422319,0.184042251,0.032256537,0.022854301,0.043269231,0.001018378,0.446215423,0,0.000639447,0.059302766,1692745.25,260.7,9630.5,41.70220712,9033.521142,Uganda,0,1,42224
newid002894,L0155,682,2009,,0.517,30.3028,Nkuruba,0.0062,,,,,,0.03,,38,,,,,0,0,0,0,0,0,0,0.16,0.2,0.08,0,0,0,0.56,0,0,0,852.6005249,0.03,,1,3.136548491,Uganda,0,1,25
newid002895,L0157,682,2009,,0.701,30.2167,Saka,0.09,,,,,,0.15,,8.5,,,,,0,0,0,0,0,0,0,0.086956522,0.043478261,0,0,0,0,0.869565217,0,0,0,2123.043945,0.15,,1,3.136548491,Uganda,0,1,23
newid002898,L0161,682,2009,,1.668,30.95,Albert,0.0192,,,,,,5600,,58,,,159,,9.59E-06,0.183093781,0,0.002153544,0.000808328,0.000115047,5.15E-05,0.071588859,0.362459906,0.080066416,0.009927035,0.05524074,0.002061266,0.182699504,0,0.000167777,0.049556678,42621528,5526.92,416660.7,269.560666,356946.2184,Uganda,0,1,1668877
newid002903,L0173,33,2015,9,5.545,-72.928,Lago de Tota,0.0064,0.06,1.5,,,,,,,,,9947,,0,0.000904159,0,0,0,0.007233273,0,0.005424955,0.183544304,0.558770344,0.057866184,0,0.01084991,0,0,0,0.175406872,13422.74512,53.52,195.7,4.123489095,235.9874125,Colombia,0,1,1106
newid002904,L0175,2692,2002,,6.2,81.05,Bolhinda,0.0135,0.4399,,,,,,,,0.18,,,,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.875,0,0,0,1621.70752,,,1,3.136548491,Sri Lanka,0,1,24
newid002905,L0176,2692,2002,,6.2,81.12,Galwewa,0.01,0.419,,,,,,,,0.11,,,,0,0,0,0,0,0,0,0,0.037037037,0,0,0.037037037,0,0.925925926,0,0,0,649.6641235,,,1,3.136548491,Sri Lanka,0,1,27
newid002906,L0177,2692,2002,,6.2333,81.1,Gonnoruwa,0.0099,0.5791,,,,,,,,0.16,,,,0,0,0,0,0,0,0,0,0.62962963,0,0,0.074074074,0,0.296296296,0,0,0,581.1735229,,,1,3.136548491,Sri Lanka,0,1,27
newid002907,L0178,2692,2002,,6.2333,81.12,Udanawewa,0.0034,0.5238,,,,,,,,0.36,,,,0,0,0,0,0,0,0,0,0.04,0,0,0.44,0,0.52,0,0,0,492.7213745,,,1,3.136548491,Sri Lanka,0,1,25
newid002908,L0179,2692,2002,,6.2667,81.03,Svodagama,0.0866,0.4859,,,,,,,,0.11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,966.010437,,,1,3.136548491,Sri Lanka,0,1,28
newid002909,L0180,2692,2002,,6.3,81.02,Wawegama,0.008,0.4747,,,,,,,,0.08,,,,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.96,0,0,0,2455.046387,,,1,3.136548491,Sri Lanka,0,1,25
newid002910,L0181,2692,2002,,6.3167,81.03,Kudaindiwewa,0.0042,0.2199,,,,,,,,0.14,,,,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0.259259259,0,0,0,1442.737793,,,1,3.136548491,Sri Lanka,0,1,27
newid002911,L0182,2692,2002,,6.3167,81.12,Palujadura,0.0074,0.2079,,,,,,,,0.46,,,,0,0,0,0,0,0,0,0,0.92,0,0,0.04,0,0,0,0,0.04,274.5361023,,,1,3.136548491,Sri Lanka,0,1,25
newid002912,L0183,2692,2002,,6.3167,81.18,Muvanwewa,0.0088,0.3002,,,,,,,,0.22,,,,0,0,0,0,0,0,0,0,0.925925926,0,0,0,0,0.074074074,0,0,0,1191.444214,,,1,3.136548491,Sri Lanka,0,1,27
newid002913,L0185,2692,2002,,6.3333,81.02,Weliwewa,0.0297,0.3673,,,,,,,,0.27,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1780.939819,,,1,3.136548491,Sri Lanka,0,1,27
newid002914,L0186,2692,2002,,6.3333,81.12,Lunuveraniya,0.0181,0.2482,,,,,,,,0.16,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,252.3633728,,,1,3.136548491,Sri Lanka,0,1,28
newid002915,L0187,2692,2002,,6.35,81.15,Medagankadavara,0.0291,0.4724,,,,,,,,0.21,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,555.925415,,,1,3.136548491,Sri Lanka,0,1,26
newid002916,L0188,2692,2002,,6.3667,80.8,Mahagalara,0.0139,0.1588,,,,,,,,0.82,,,,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.92,0,0,0,3144.569336,,,1,3.136548491,Sri Lanka,0,1,25
newid002917,L0189,2692,2002,,6.4167,81.05,Galwalewewa,0.0058,0.1956,,,,,,,,0.39,,,,0,0,0,0,0,0,0,0.222222222,0.777777778,0,0,0,0,0,0,0,0,436.5731201,,,1,3.136548491,Sri Lanka,0,1,27
newid002918,L0190,2692,2002,,6.4167,81.08,Bodhagamawewa,0.0059,0.2901,,,,,,,,0.22,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,412.9445801,,,1,3.136548491,Sri Lanka,0,1,25
newid002919,L0191,2692,2002,,6.4333,81.3,Akkaravissawewa,0.0055,0.168,,,,,,,,0.72,,,,0,0,0,0,0,0,0,0,0.592592593,0.407407407,0,0,0,0,0,0,0,903.923584,,,1,3.136548491,Sri Lanka,0,1,27
newid002920,L0192,2692,2002,,6.4333,81.32,Dozerwewa,0.0386,0.4023,,,,,,,,0.21,,,,0,0,0,0,0,0,0,0,0.814814815,0.148148148,0,0.037037037,0,0,0,0,0,441.0246887,,,1,3.136548491,Sri Lanka,0,1,27
newid002921,L0193,2692,2002,,6.45,81.07,Meegaswewa,0.0135,0.3194,,,,,,,,0.19,,,,0,0,0,0,0,0,0,0,0.96,0.04,0,0,0,0,0,0,0,488.0705872,,,1,3.136548491,Sri Lanka,0,1,25
newid002923,L0194,331,2006,,6.505,-1.4083,Bosumtwi,0.0095,,,,,,52,,,,,15892,,0,0.001364256,0,0,0,0,0,0.238744884,0.41473397,0.024556617,0.021828104,0,0,0.001364256,0,0,0.297407913,26532.05469,49.16,115.8,3.0891403,156.0037671,Ghana,0,1,733
newid002924,L0195,2692,2002,,6.55,81.07,Watagalaarawewa,0.0035,0.2171,,,,,,,,0.64,,,,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0.333333333,0,0,0,353.0232544,,,1,3.136548491,Sri Lanka,0,1,24
newid002925,L0196,2692,2002,,6.55,81.12,Walaskemawewa,0.0108,0.2629,,,,,,,,0.15,,,,0,0,0,0,0,0,0,0,0.88,0.04,0,0.08,0,0,0,0,0,371.0238647,,,1,3.136548491,Sri Lanka,0,1,25
newid002926,L0197,2692,2002,,6.6833,81.1,Batalaarawewa,0.0132,0.1066,,,,,,,,0.66,,,,0,0,0,0,0,0,0,0.16,0.8,0,0,0.04,0,0,0,0,0,1748.808716,,,1,3.136548491,Sri Lanka,0,1,25
newid002927,L0199,2692,2002,,6.7333,81.13,Senasumawewa,0.0068,0.168,,,,,,,,0.44,,,,0,0,0,0,0,0,0,0.407407407,0.592592593,0,0,0,0,0,0,0,0,2554.518066,,,1,3.136548491,Sri Lanka,0,1,27
